"Plot Title: V3"
"#","Date Time, GMT-03:00","Volt, V (LGR S/N: 10453365, SEN S/N: 10453365)","Host Connected (LGR S/N: 10453365)","Stopped (LGR S/N: 10453365)","End Of File (LGR S/N: 10453365)"
342,10/19/19 02:18:51 AM,2.21001,,,
343,10/19/19 02:20:51 AM,2.21001,,,
344,10/19/19 02:22:51 AM,2.21001,,,
345,10/19/19 02:24:51 AM,2.21001,,,
346,10/19/19 02:26:51 AM,2.21001,,,
347,10/19/19 02:28:51 AM,2.21001,,,
348,10/19/19 02:30:51 AM,2.21001,,,
349,10/19/19 02:32:51 AM,2.21001,,,
350,10/19/19 02:34:51 AM,2.21062,,,
351,10/19/19 02:36:51 AM,2.21001,,,
352,10/19/19 02:38:51 AM,2.21001,,,
353,10/19/19 02:40:51 AM,2.21001,,,
354,10/19/19 02:42:51 AM,2.21001,,,
355,10/19/19 02:44:51 AM,2.21001,,,
356,10/19/19 02:46:51 AM,2.21001,,,
357,10/19/19 02:48:51 AM,2.21001,,,
358,10/19/19 02:50:51 AM,2.21001,,,
359,10/19/19 02:52:51 AM,2.21001,,,
360,10/19/19 02:54:51 AM,2.21001,,,
361,10/19/19 02:56:51 AM,2.21001,,,
362,10/19/19 02:58:51 AM,2.21001,,,
363,10/19/19 03:00:51 AM,2.21001,,,
364,10/19/19 03:02:51 AM,2.21062,,,
365,10/19/19 03:04:51 AM,2.21001,,,
366,10/19/19 03:06:51 AM,2.21001,,,
367,10/19/19 03:08:51 AM,2.21001,,,
368,10/19/19 03:10:51 AM,2.21001,,,
369,10/19/19 03:12:51 AM,2.21001,,,
370,10/19/19 03:14:51 AM,2.21001,,,
371,10/19/19 03:16:51 AM,2.21001,,,
372,10/19/19 03:18:51 AM,2.21001,,,
373,10/19/19 03:20:51 AM,2.21001,,,
374,10/19/19 03:22:51 AM,2.21062,,,
375,10/19/19 03:24:51 AM,2.21062,,,
376,10/19/19 03:26:51 AM,2.21001,,,
377,10/19/19 03:28:51 AM,2.21001,,,
378,10/19/19 03:30:51 AM,2.21001,,,
379,10/19/19 03:32:51 AM,2.21001,,,
380,10/19/19 03:34:51 AM,2.21001,,,
381,10/19/19 03:36:51 AM,2.21001,,,
382,10/19/19 03:38:51 AM,2.21001,,,
383,10/19/19 03:40:51 AM,2.21001,,,
384,10/19/19 03:42:51 AM,2.21001,,,
385,10/19/19 03:44:51 AM,2.21001,,,
386,10/19/19 03:46:51 AM,2.21001,,,
387,10/19/19 03:48:51 AM,2.21001,,,
388,10/19/19 03:50:51 AM,2.21062,,,
389,10/19/19 03:52:51 AM,2.21001,,,
390,10/19/19 03:54:51 AM,2.21001,,,
391,10/19/19 03:56:51 AM,2.21001,,,
392,10/19/19 03:58:51 AM,2.21001,,,
393,10/19/19 04:00:51 AM,2.21001,,,
394,10/19/19 04:02:51 AM,2.21001,,,
395,10/19/19 04:04:51 AM,2.21001,,,
396,10/19/19 04:06:51 AM,2.21001,,,
397,10/19/19 04:08:51 AM,2.21001,,,
398,10/19/19 04:10:51 AM,2.21001,,,
399,10/19/19 04:12:51 AM,2.21062,,,
400,10/19/19 04:14:51 AM,2.21001,,,
401,10/19/19 04:16:51 AM,2.21001,,,
402,10/19/19 04:18:51 AM,2.21001,,,
403,10/19/19 04:20:51 AM,2.21001,,,
404,10/19/19 04:22:51 AM,2.21001,,,
405,10/19/19 04:24:51 AM,2.21001,,,
406,10/19/19 04:26:51 AM,2.21001,,,
407,10/19/19 04:28:51 AM,2.21001,,,
408,10/19/19 04:30:51 AM,2.21001,,,
409,10/19/19 04:32:51 AM,2.21001,,,
410,10/19/19 04:34:51 AM,2.21001,,,
411,10/19/19 04:36:51 AM,2.21001,,,
412,10/19/19 04:38:51 AM,2.21001,,,
413,10/19/19 04:40:51 AM,2.21001,,,
414,10/19/19 04:42:51 AM,2.21001,,,
415,10/19/19 04:44:51 AM,2.21001,,,
416,10/19/19 04:46:51 AM,2.21001,,,
417,10/19/19 04:48:51 AM,2.21001,,,
418,10/19/19 04:50:51 AM,2.21001,,,
419,10/19/19 04:52:51 AM,2.21001,,,
420,10/19/19 04:54:51 AM,2.21001,,,
421,10/19/19 04:56:51 AM,2.21001,,,
422,10/19/19 04:58:51 AM,2.21001,,,
423,10/19/19 05:00:51 AM,2.21001,,,
424,10/19/19 05:02:51 AM,2.21001,,,
425,10/19/19 05:04:51 AM,2.21001,,,
426,10/19/19 05:06:51 AM,2.21001,,,
427,10/19/19 05:08:51 AM,2.21001,,,
428,10/19/19 05:10:51 AM,2.21001,,,
429,10/19/19 05:12:51 AM,2.21001,,,
430,10/19/19 05:14:51 AM,2.21001,,,
431,10/19/19 05:16:51 AM,2.21001,,,
432,10/19/19 05:18:51 AM,2.21001,,,
433,10/19/19 05:20:51 AM,2.21001,,,
434,10/19/19 05:22:51 AM,2.21001,,,
435,10/19/19 05:24:51 AM,2.21001,,,
436,10/19/19 05:26:51 AM,2.21001,,,
437,10/19/19 05:28:51 AM,2.21001,,,
438,10/19/19 05:30:51 AM,2.21001,,,
439,10/19/19 05:32:51 AM,2.21001,,,
440,10/19/19 05:34:51 AM,2.21001,,,
441,10/19/19 05:36:51 AM,2.21001,,,
442,10/19/19 05:38:51 AM,2.21001,,,
443,10/19/19 05:40:51 AM,2.21001,,,
444,10/19/19 05:42:51 AM,2.21001,,,
445,10/19/19 05:44:51 AM,2.21001,,,
446,10/19/19 05:46:51 AM,2.21001,,,
447,10/19/19 05:48:51 AM,2.21001,,,
448,10/19/19 05:50:51 AM,2.21001,,,
449,10/19/19 05:52:51 AM,2.21001,,,
450,10/19/19 05:54:51 AM,2.21001,,,
451,10/19/19 05:56:51 AM,2.21001,,,
452,10/19/19 05:58:51 AM,2.21001,,,
453,10/19/19 06:00:51 AM,2.21001,,,
454,10/19/19 06:02:51 AM,2.21001,,,
455,10/19/19 06:04:51 AM,2.21001,,,
456,10/19/19 06:06:51 AM,2.21001,,,
457,10/19/19 06:08:51 AM,2.21001,,,
