"Plot Title: r1"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10323477, SEN S/N: 10323477)","Event, units (LGR S/N: 10323477, SEN S/N: 10323477)","Coupler Attached (LGR S/N: 10323477)","Stopped (LGR S/N: 10323477)","End Of File (LGR S/N: 10323477)"
330,11/09/19 02:46:00 AM,14.613,,,,
331,11/09/19 03:46:00 AM,14.709,,,,
332,11/09/19 04:46:00 AM,14.709,,,,
333,11/09/19 05:46:00 AM,13.654,,,,
334,11/09/19 06:46:00 AM,15.569,,,,
335,11/09/19 07:46:00 AM,19.377,,,,
336,11/09/19 08:46:00 AM,23.100,,,,
337,11/09/19 09:46:00 AM,24.545,,,,
338,11/09/19 10:46:00 AM,26.195,,,,
339,11/09/19 11:46:00 AM,27.862,,,,
340,11/09/19 12:46:00 PM,27.961,,,,
341,11/09/19 01:46:00 PM,29.252,,,,
342,11/09/19 02:46:00 PM,28.555,,,,
343,11/09/19 03:46:00 PM,28.853,,,,
344,11/09/19 04:46:00 PM,27.075,,,,
345,11/09/19 05:46:00 PM,25.708,,,,
346,11/09/19 06:46:00 PM,23.388,,,,
347,11/09/19 07:46:00 PM,20.805,,,,
348,11/09/19 08:46:00 PM,21.378,,,,
349,11/09/19 09:46:00 PM,20.901,,,,
350,11/09/19 10:46:00 PM,19.758,,,,
351,11/09/19 11:46:00 PM,20.234,,,,
352,11/10/19 12:46:00 AM,20.138,,,,
353,11/10/19 01:46:00 AM,19.853,,,,
354,11/10/19 02:46:00 AM,19.472,,,,
355,11/10/19 03:46:00 AM,19.472,,,,
356,11/10/19 04:46:00 AM,19.377,,,,
357,11/10/19 05:46:00 AM,19.282,,,,
358,11/10/19 06:46:00 AM,19.472,,,,
359,11/10/19 07:46:00 AM,19.948,,,,
360,11/10/19 08:46:00 AM,22.429,,,,
361,11/10/19 09:46:00 AM,23.292,,,,
362,11/10/19 10:46:00 AM,25.416,,,,
363,11/10/19 11:46:00 AM,26.781,,,,
364,11/10/19 12:46:00 PM,28.456,,,,
365,11/10/19 01:46:00 PM,28.655,,,,
366,11/10/19 02:46:00 PM,29.853,,,,
367,11/10/19 03:46:00 PM,29.252,,,,
368,11/10/19 04:46:00 PM,28.456,,,,
369,11/10/19 05:46:00 PM,27.370,,,,
370,11/10/19 06:46:00 PM,23.484,,,,
371,11/10/19 07:46:00 PM,21.091,,,,
372,11/10/19 08:46:00 PM,20.043,,,,
373,11/10/19 09:46:00 PM,18.901,,,,
374,11/10/19 10:46:00 PM,18.045,,,,
375,11/10/19 11:46:00 PM,18.045,,,,
376,11/11/19 12:46:00 AM,18.140,,,,
377,11/11/19 01:46:00 AM,18.236,,,,
378,11/11/19 02:46:00 AM,16.808,,,,
379,11/11/19 03:46:00 AM,17.094,,,,
380,11/11/19 04:46:00 AM,17.189,,,,
381,11/11/19 05:46:00 AM,15.951,,,,
382,11/11/19 06:46:00 AM,16.713,,,,
383,11/11/19 07:46:00 AM,20.519,,,,
384,11/11/19 08:46:00 AM,21.664,,,,
385,11/11/19 09:46:00 AM,23.004,,,,
386,11/11/19 10:46:00 AM,23.388,,,,
387,11/11/19 11:46:00 AM,26.390,,,,
388,11/11/19 12:46:00 PM,26.488,,,,
389,11/11/19 01:46:00 PM,27.665,,,,
390,11/11/19 02:46:00 PM,28.555,,,,
391,11/11/19 03:46:00 PM,28.555,,,,
392,11/11/19 04:46:00 PM,28.456,,,,
393,11/11/19 05:46:00 PM,27.961,,,,
394,11/11/19 06:46:00 PM,23.388,,,,
395,11/11/19 07:46:00 PM,19.758,,,,
396,11/11/19 08:46:00 PM,18.236,,,,
397,11/11/19 09:46:00 PM,18.616,,,,
398,11/11/19 10:46:00 PM,18.711,,,,
399,11/11/19 11:46:00 PM,17.950,,,,
