"Plot Title: r4"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10075968, SEN S/N: 10075968)","Evento, unidades (LGR S/N: 10075968, SEN S/N: 10075968)","Coupler Attached (LGR S/N: 10075968)","Coupler Detached (LGR S/N: 10075968)","Stopped (LGR S/N: 10075968)","End Of File (LGR S/N: 10075968)"
320,11/08/19 12:05:23 AM,14.038,,,,,
321,11/08/19 01:05:23 AM,13.461,,,,,
322,11/08/19 02:05:23 AM,12.980,,,,,
323,11/08/19 03:05:23 AM,12.304,,,,,
324,11/08/19 04:05:23 AM,12.110,,,,,
325,11/08/19 05:05:23 AM,12.110,,,,,
326,11/08/19 06:05:23 AM,11.916,,,,,
327,11/08/19 07:05:23 AM,17.475,,,,,
328,11/08/19 08:05:23 AM,22.525,,,,,
329,11/08/19 09:05:23 AM,25.610,,,,,
330,11/08/19 10:05:23 AM,26.585,,,,,
331,11/08/19 11:05:23 AM,27.862,,,,,
332,11/08/19 12:05:23 PM,28.655,,,,,
333,11/08/19 01:05:23 PM,30.054,,,,,
334,11/08/19 02:05:23 PM,29.853,,,,,
335,11/08/19 03:05:23 PM,29.853,,,,,
336,11/08/19 04:05:23 PM,29.452,,,,,
337,11/08/19 05:05:23 PM,28.060,,,,,
338,11/08/19 06:05:23 PM,24.931,,,,,
339,11/08/19 07:05:23 PM,22.525,,,,,
340,11/08/19 08:05:23 PM,20.043,,,,,
341,11/08/19 09:05:23 PM,20.138,,,,,
342,11/08/19 10:05:23 PM,19.377,,,,,
343,11/08/19 11:05:23 PM,18.331,,,,,
344,11/09/19 12:05:23 AM,17.189,,,,,
345,11/09/19 01:05:23 AM,16.999,,,,,
346,11/09/19 02:05:23 AM,16.141,,,,,
347,11/09/19 03:05:23 AM,15.473,,,,,
348,11/09/19 04:05:23 AM,15.282,,,,,
349,11/09/19 05:05:23 AM,15.091,,,,,
350,11/09/19 06:05:23 AM,14.613,,,,,
351,11/09/19 07:05:23 AM,18.045,,,,,
352,11/09/19 08:05:23 AM,20.996,,,,,
353,11/09/19 09:05:23 AM,23.196,,,,,
354,11/09/19 10:05:23 AM,26.292,,,,,
355,11/09/19 11:05:23 AM,27.272,,,,,
356,11/09/19 12:05:23 PM,28.357,,,,,
357,11/09/19 01:05:23 PM,28.159,,,,,
358,11/09/19 02:05:23 PM,28.060,,,,,
359,11/09/19 03:05:23 PM,28.159,,,,,
360,11/09/19 04:05:23 PM,27.468,,,,,
361,11/09/19 05:05:23 PM,26.097,,,,,
362,11/09/19 06:05:23 PM,24.931,,,,,
363,11/09/19 07:05:23 PM,23.004,,,,,
364,11/09/19 08:05:23 PM,21.473,,,,,
365,11/09/19 09:05:23 PM,21.282,,,,,
366,11/09/19 10:05:23 PM,20.710,,,,,
367,11/09/19 11:05:23 PM,20.138,,,,,
368,11/10/19 12:05:23 AM,20.329,,,,,
369,11/10/19 01:05:23 AM,20.138,,,,,
370,11/10/19 02:05:23 AM,19.758,,,,,
371,11/10/19 03:05:23 AM,19.662,,,,,
372,11/10/19 04:05:23 AM,19.567,,,,,
373,11/10/19 05:05:23 AM,19.567,,,,,
374,11/10/19 06:05:23 AM,19.282,,,,,
375,11/10/19 07:05:23 AM,19.853,,,,,
376,11/10/19 08:05:23 AM,20.138,,,,,
377,11/10/19 09:05:23 AM,22.717,,,,,
378,11/10/19 10:05:23 AM,23.869,,,,,
379,11/10/19 11:05:23 AM,26.585,,,,,
380,11/10/19 12:05:23 PM,27.370,,,,,
381,11/10/19 01:05:23 PM,28.258,,,,,
382,11/10/19 02:05:23 PM,41.341,,,,,
383,11/10/19 03:05:23 PM,71.914,,,,,
384,11/10/19 04:05:23 PM,28.060,,,,,
385,11/10/19 05:05:23 PM,3.261,,,,,
386,11/10/19 06:05:23 PM,-43.493,,,,,
387,11/10/19 07:05:23 PM,28.357,,,,,
388,11/10/19 08:05:23 PM,-23.119,,,,,
389,11/10/19 09:05:23 PM,19.282,,,,,
390,11/10/19 10:05:23 PM,18.616,,,,,
391,11/10/19 11:05:23 PM,18.045,,,,,
392,11/11/19 12:05:23 AM,18.331,,,,,
393,11/11/19 01:05:23 AM,18.331,,,,,
394,11/11/19 02:05:23 AM,18.236,,,,,
395,11/11/19 03:05:23 AM,16.713,,,,,
396,11/11/19 04:05:23 AM,17.379,,,,,
397,11/11/19 05:05:23 AM,17.094,,,,,
398,11/11/19 06:05:23 AM,16.046,,,,,
399,11/11/19 07:05:23 AM,18.806,,,,,
400,11/11/19 08:05:23 AM,21.282,,,,,
401,11/11/19 09:05:23 AM,21.855,,,,,
402,11/11/19 10:05:23 AM,22.429,,,,,
403,11/11/19 11:05:23 AM,24.062,,,,,
404,11/11/19 12:05:23 PM,25.805,,,,,
405,11/11/19 01:05:23 PM,26.683,,,,,
406,11/11/19 02:05:23 PM,27.468,,,,,
407,11/11/19 03:05:23 PM,27.665,,,,,
408,11/11/19 04:05:23 PM,27.764,,,,,
409,11/11/19 05:05:23 PM,26.977,,,,,
410,11/11/19 06:05:23 PM,24.545,,,,,
411,11/11/19 07:05:23 PM,22.621,,,,,
412,11/11/19 08:05:23 PM,20.424,,,,,
413,11/11/19 09:05:23 PM,18.901,,,,,
414,11/11/19 10:05:23 PM,18.711,,,,,
415,11/11/19 11:05:23 PM,18.806,,,,,
416,11/12/19 12:05:23 AM,18.140,,,,,
417,11/12/19 01:05:23 AM,17.094,,,,,
418,11/12/19 02:05:23 AM,16.427,,,,,
419,11/12/19 03:05:23 AM,15.951,,,,,
420,11/12/19 04:05:23 AM,15.473,,,,,
421,11/12/19 05:05:23 AM,15.760,,,,,
422,11/12/19 06:05:23 AM,16.332,,,,,
423,11/12/19 07:05:23 AM,19.853,,,,,
424,11/12/19 08:05:23 AM,20.996,,,,,
425,11/12/19 09:05:23 AM,24.641,,,,,
426,11/12/19 09:53:42 AM,,,Logged,,,
427,11/12/19 09:53:54 AM,,,,Logged,,
428,11/12/19 09:53:59 AM,,,Logged,,,
429,11/12/19 09:54:02 AM,,163.00,,,Logged,Logged
